Status,Precio USD,Area m2,USD/m2,Ambientes,Direccion,Notas,URL
pending,84000,49,1714,2,"Concordia 1300. Entre Remedios De Escalada De San Ma y Dr. Luis Belaustegui","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-hermoso-dpto-2-ambs-en-villa-santa-rita-56421724.html
pending,89000,51,1745,3,"Av. Constituyentes 5180. Entre Obispo San Alberto y José León Cabezón","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-3-ambientes.-av-constituyentes-al-5100-58873377.html
pending,,49,,3,"Carlos a Lopez 2491","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-depto-3-ambientes-al-frente-muy-luminoso.-57111105.html
rejected,84000,41,2049,1,"Riobamba 853","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-ambiente-41-m-sup2--soleado-apto-credito-hipotecario-57449376.html
pending,98000,53,1849,2,"Terrada 2000","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-semipiso-2-ambientes-y-1-2-a-estrenar-apto-credito-59104331.html
rejected,88000,43,2047,2,"Ruiz Huidobro 3600","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-2-ambientes-con-balcon-saavedra-59009449.html
rejected,95000,49,1939,3,"Avenida Corrientes 5065","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-luminoso-3-amb-lateral-corrientes-y-araoz-58589662.html
pending,86000,49,1755,2,"Artigas al 2900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-c-balcon-villa-del-58942679.html
rejected,,70,,3,"Austria 2250","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-de-66-m-sup2--2-dorm.-c-cochera-en-venta-57063923.html
pending,85000,40,2125,2,"Billinghurst 1265","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-oportunidad!-monoambiente-divisible-de-40-58875216.html
pending,95000,58,1638,2,"Campana 2900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-villa-del-parque-dos-ambientes-patio-59076640.html
pending,99000,64,1547,2,"SANABRIA  3287 1 PISO C","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-2-ambientes-con-dos-patios.-57313812.html
rejected,98500,44,2239,2,"Alvarez Jonte  al 1900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-alvarez-jonte-al-1900-departamentos-2-ambientes-a-56821161.html
rejected,89000,40,2225,2,"Besares al 2300","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-56445029.html
pending,100000,54,1852,2,"Gavilán 1800","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-excelente-2-amb-com-balcon-terraza-cochera-y-bajas-58193700.html
pending,78000,40,1950,2,"Paraguay al 5400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-2-amb-planta-baja-paraguay-5400-59093568.html
pending,97500,44,2216,2,"Av. Nazca 1440","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-a-estrenar-2-amb-villa-santa-rita-apto-credito-56216983.html
pending,77000,40,1925,3,"Av. Juan Bautista Justo 2118","",https://www.zonaprop.com.ar/propiedades/clasificado/vecllcin-venta-local-sobre-av-juan-b.-justo-55755410.html
pending,89000,58,1534,2,"Juan Agustin Garcia 2700","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-caba-2-ambientes-con-balcon-59071023.html
pending,65000,40,1625,2,"Artigas al 3000","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-amb-en-villa-del-parque-58510485.html
pending,82000,42,1952,2,"Paraguay 2500","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-en-recoleta-2-ambientes-y-patio-58633670.html
pending,75000,41,1829,2,"Argerich 1352","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-2-ambientes-en-villa-del-parque-58772694.html
rejected,85000,43,1977,2,"Acevedo 615","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-acevedo-600-58375498.html
rejected,99000,53,1868,2,"Ladines 3300","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-retasado!-2-ambientes-con-terraza-propia-y-parrilla!-49802686.html
pending,87000,48,1813,2,"Segurola 3292","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-villa-devoto-depto-2-ambientes-lateral-super-amplio-58124103.html
pending,98000,46,2130,2,"Sánchez de Bustamante 1650 piso 3","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-2-ambientes-balcon-cocina-con-lavadero-58819878.html
rejected,84000,66,1273,3,"Bolivia 1791","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-de-3-ambientes-en-venta-en-villa-gral.-58520245.html
pending,85000,60,1417,3,"Bolivia 2055","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-3-ambientes-en-paternal-58880583.html
rejected,92000,44,2091,1,"Av San Martin  al 4000","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-monoambiente-dividido-en-agronomia-muy-58895880.html
rejected,100000,42,2381,2,"Av. Santa Fe 2800","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-2-ambientes-venta-recoleta-a.-credito-59006659.html
rejected,1,1600,,10,"O´Higgins 1300","",https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-con-jardin-y-cocheras.-estilo-palaciego-52232786.html
pending,79000,50,1580,2,"Pacheco 2600","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-apto-credito-2-ambientes-con-patio-en-planta-baja-al-58834943.html
pending,85000,50,1700,1,"Ricardo gutierez 3300","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-monoambiente-amplio-con-patio-en-venta-villa-del-55772996.html
pending,78000,40,1950,1,"Argerich 3000","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-espectacular-2-ambientes-en-villa-del-parque-57927158.html
pending,95000,40,2375,2,"Avenida Olazábal al 3200","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-apto-credito-belgrano-59096242.html
rejected,83000,56,1482,2,"Sanabria al 2600","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-venta-ph-2-ambientes-con-patio-propio-en-villa-devoto-58495013.html
rejected,98000,43,2279,2,"Trelles 1900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-2-ambientes-con-balcon-a-estrenar!-56006535.html
pending,79800,50,1596,3,"Charcas 4000","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-3-ambientes-botanico-capital-federal-58911908.html
rejected,89900,44,2043,2,"Avenida Pueyrredón 1329","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-2-amb-ideal-inversion.-pueyrredon-y-santa-fe-58668090.html
pending,95000,54,1759,2,"Libertad  al 900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-de-2-ambientes-en-recoleta-59082038.html
rejected,97000,40,2425,1,"Beruti al 4400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-reciclado-a-una-cuadra-de-la-58169046.html
pending,98000,53,1849,2,"Terrada al 2019","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-2-a-3-ambientes-a-estrenar-con-balcon-59004152.html
pending,100000,43,2326,3,"Av. Triunvirato al 2900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-villa-ortuzar-3-ambientes-58847991.html
rejected,89500,40,2238,2,"Venta ! Oportunidad !!!  Departamento en Venta en Godoy Cruz  al 2900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-luminoso-y-de-bajas-58925927.html
rejected,99000,46,2152,2,"Bahía Blanca 2442","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-gran-depto-dos-amb-todo-luz-impecable-estado!-58965241.html
pending,95000,45,2111,2,"Urdininea al 1700","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-ph-2-ambientes-en-duplex-muy-luminoso-urdininea-1700-58420668.html
pending,94900,45,2109,3,"Gascon al 1300","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-3-ambientes-oportunidad-58760564.html
rejected,80000,60,1333,2,"Lerma AL 50","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-venta-ph-2-ambientes-villa-crespo-58837275.html
pending,82000,44,1864,2,"Justo, Juan B. Av. 2196","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-2-amb-tipo-ph-mas-terraza-compartida-57981116.html
rejected,92000,45,2044,3,"Monroe 3129","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-3-ambientes-coghlan-apto-credito!-58496436.html
rejected,96000,47,2043,3,"Av. San Martín 1800","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-3-ambientes-escritorio-o-3-dorm.-56604263.html
pending,89000,49,1816,2,"AV CABILDO 300. Entre B Matienzo y Dumont, Santos","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-de-departamento-en-belgrano-58722850.html
pending,99000,58,1707,3,"Jose Pedro Varela 5000","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-3-ambientes-villa-devoto-semipiso-58-m-sup2-59058090.html
rejected,88500,62,1427,2,"Remedios DE Escalada DE SAN Martin al 800","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-ph-2-ambientes-en-villa-crespo-con-terraza-propia.-59100889.html
pending,86000,58,1483,3,"Ruiz Huidobro al 3600","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-bajo-de-precio!-ph-3-ambientes-sin-expensas.-51955314.html
rejected,97000,47,2064,2,"Avenida San Martín 7200","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-2-ambientes-al-frente-con-balcon-devoto-58951894.html
pending,85000,46,1848,2,"Mendoza al 5200","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-de-2-ambientes-sobre-boulevar-59041336.html
rejected,99800,56,1782,3,"Av. Chivilcoy al 4900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-departamento-1ero-por-escalera-de-3-ambientes-a-56795964.html
pending,95000,55,1727,3,"Argerich al 3600","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-ph-3-ambientes-al-frente-con-balcon-en-agronomia-58555189.html
rejected,98000,73,1342,2,"GONZALEZ, JOAQUIN V. 4400. Entre Vallejos y Gutenberg","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-reservado-departamento-2-ambientes-venta-villa-devoto-58132250.html
rejected,99800,56,1782,3,"Av. Chivilcoy al 4900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-1ero-por-escalera-de-3-ambientes-a-56794728.html
favorite,99900,82,1218,3,"Avenida Francisco Beiró 5100","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-3-ambientes-balcon-terraza-lavadero-59069559.html
rejected,1,213,,3,"Figueroa Alcorta 3200","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-en-palermo.-le-parc-alcorta.-58340259.html
rejected,85000,42,2024,2,"BOLIVIA 4900. Entre Griveo y Ladines","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-reservado-departamento-2-ambientes-en-venta-villa-55626200.html
rejected,58000,40,1450,2,"Espinosa 2117","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-55127283.html
rejected,50000,40,1250,2,"Correa al 3600","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-saavedra.-2-ambientes-57916807.html
rejected,100000,91,1099,4,"Las Heras 3700","",https://www.zonaprop.com.ar/propiedades/clasificado/vecllcin-local-comercial-mas-oficinas-en-venta-dentro-de-la-47479025.html
pending,79500,52,1529,3,"Padilla al 1000","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-3-ambientes-en-excelente-ubicacion-57324929.html
pending,,64,,3,"Avenida Olazábal 2600","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-dptos.-av-olazabal-2600-1-2-o-3-amb.-venta-58425543.html
pending,89900,40,2248,2,"Argañarás","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-ph-a-m-de-av-cordoba!-40-m-sup2--u$89.900.-58586221.html
pending,80000,45,1778,2,"Emilio Lamarca al 2100","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-villa-del-parque-59025385.html
pending,87000,50,1740,3,"Domingo Romero al 1800","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-belgrano-58322076.html
rejected,100000,44,2273,2,"Alvarez Jonte 1900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-al-frente!-55785182.html
pending,79000,40,1975,1,"Arenales 1100","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-1-amb-40-m-sup2--arenales-1100-58992471.html
pending,65000,50,1300,2,"Av. Alvarez Jonte 2000. Entre Boyaca y Andres Lamas","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-2-ambientes-con-balcon-muy-luminoso-58141621.html
pending,95000,53,1792,3,"Pedro Lozano 4149","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-3-amb-villa-devoto-58714607.html
rejected,70000,40,1750,,"AV SAN MARTIN 4700. Entre Melincue y Artigas, Jose G. De, Gral.","",https://www.zonaprop.com.ar/propiedades/clasificado/vecllcin-local-venta-agronomia-50477398.html
pending,90000,40,2250,2,"Mansilla al 2500","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-dos-ambientes-en-venta-recoleta-59066227.html
rejected,99900,62,1611,3,"PASAJE GIBRALTAR 5400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-pasaje-gibraltar-5400-venta-ph-de-tres-ambientes-en-56884906.html
pending,79000,49,1612,2,"Helguera 3916","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-depto-2-amb-en-villa-pueyrredon-57526388.html
rejected,92000,47,1957,,"Iberá 2188","",https://www.zonaprop.com.ar/propiedades/clasificado/vecllcin-local-con-sotano-a-la-venta-nunez-58902845.html
rejected,94900,44,2157,1,"gamarra","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-monoambiente-a-estrenar-de-categoria-parque-chas-apto-54576127.html
rejected,,43,,2,"Ecuador 1428","",https://www.zonaprop.com.ar/propiedades/clasificado/veclappa-encantador-y-en-punto-estrategico-de-la-ciudad!-apto-56169856.html
rejected,74500,40,1863,2,"Teniente General Eustoquio Frías 549","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-2-ambientes-a-1-cuadra-de-avs-corrientes-y-angel-58814094.html
rejected,99000,46,2152,2,"Avenida Corrientes 4890","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-exc-opcion-full-amenities!-ubicacion-estrategica-sobre-54739932.html
pending,96000,52,1846,3,"Avenida San Martin 4200","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-en-villa-del-parque-capital-57858363.html
pending,,60,,3,"Armenia","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphpa-ph-3-ambientes-reciclado-a-nuevo-en-palermo-soho-con-59075724.html
pending,94500,60,1575,2,"Avenida Corrientes  al 4900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-dos-ambientes.-con-patio.-villa-crespo-58693332.html
rejected,94900,48,1977,2,"Av. Corrientes 5500","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-oportibidad-venta-departamento-2-ambientes-con-balcon-58859205.html
rejected,95000,43,2209,1,"Estomba 3100","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-gran-dpto-1-amb-con-balcon-al-fte-muy-lum.-prox-57821300.html
pending,83000,51,1627,,"ROSETI 1800. Entre Plaza y Holmberg","",https://www.zonaprop.com.ar/propiedades/clasificado/vecllcin-local.-roseti-1800-57206213.html
rejected,89900,62,1450,2,"VALDENEGRO 4500","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-venta-ph-2-ambientes-escritorio-saavedra-56346720.html
pending,90000,48,1875,2,"Av. Corrientes 5500","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-en-venta-depto-de-2-amb-al-contrafrente-en-villa-58012614.html
pending,96000,60,1600,3,"Juan B Justo 2500","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-amplio-3-ambientes-con-balcon-y-muy-luminoso-55098857.html
rejected,61000,44,1386,2,"Terrero al 1300 - 2 amb -  Segundo Piso por Escalera","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-terrero-al-1300-2-amb-segundo-piso-por-escalera-58610814.html
rejected,88000,61,1443,3,"Habana 3651","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-3-ambientes-en-villa-devoto-59037768.html
pending,92000,52,1769,3,"Tomás A. Le Bretón 5252","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-luminoso-3-ambientes-de-52-m-sup2--lateral-con-baulera-58099259.html
pending,95000,50,1900,2,"HOLMBERG 4100. Entre Paroissien y Vilela","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-de-departamento-2-ambientes-en-saavedra-55786022.html
pending,78000,49,1592,2,"CONDARCO 2651. Entre Santo Tome y Arregui 1 7","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-2-ambientes.-condarco-2651-44244746.html
pending,99000,50,1980,2,"Adolfo Carranza 2728","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-en-villa-del-parque-58514207.html
pending,75000,47,1596,2,"Pje.famailla  al 2700","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-de-2-amb.-en-pb.-patio-59081092.html
pending,90000,48,1875,2,"Thames 654","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-thames-654-656-villa-crespo-ideal-inversor.-59039129.html
rejected,94900,46,2063,2,"Avenida Francisco Beiró 3600","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-depto-2-amb-devoto-refaccionado-a-nuevo-59009092.html
pending,85000,44,1932,1,"Sanabria 2700","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-de-44-m-sup2--en-venta-en-villa-devoto-57688486.html
pending,,153,,5,"Vidt","",https://www.zonaprop.com.ar/propiedades/clasificado/veclappa-venta-semi-piso-exclusivo-palermo-58890736.html
pending,97900,43,2277,2,"Trelles 1900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-luminoso-2-ambientes-con-balcon-a-estrenar!-55208922.html
pending,75000,40,1875,1,"Sanabria 2625","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-en-villa-devoto-con-balcon-57611630.html
rejected,100000,59,1695,3,"Pedro Ignacio Rivera 2400. Entre Ciudad de la paz y Avenida cabildo","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-3-ambientes-con-patio-56625011.html
favorite,95000,73,1301,3,"Desaguadero al 3600","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-3-ambientes-en-pb-al-frente-con-58958822.html
pending,76000,45,1689,2,"Batalla del Pari 903","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-ph-2-ambientes-batalla-del-pari-903-57924578.html
rejected,78000,60,1300,3,"Giribone 700","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-giribone-717-colegiales-3-amb-en-planta-baja-con-59061846.html
rejected,90000,66,1364,3,"Añasco 2662","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-comodo-ph-por-pasillo-con-patio-y-terraza-58310662.html
rejected,,49,,2,"Av. Monroe","",https://www.zonaprop.com.ar/propiedades/clasificado/veclappa-departamento-de-2-ambientes-con-patio-apto-58112657.html
pending,95000,50,1900,2,"Juan Ramirez DE Velazco  al 300","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-apto-profesional-de-dos-ambientes-al-58333891.html
rejected,96000,44,2182,2,"Alvarez Jonte 1920","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-oportunidad-de-2-amb-en-paternal-a-estrenar-apto-53490707.html
pending,100000,50,2000,3,"Triunvirato 2860","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-3-amb-con-balcon-al-frente-56862751.html
pending,75000,40,1875,2,"Virrey Loreto 3650","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-2-ambientes-en-colegiales-muy-luminoso-excelente-59015244.html
pending,80000,46,1739,2,"Avenida  San Martín 2688","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-2-ambientes-al-frente-muy-luminoso-57289668.html
pending,86000,52,1654,3,"Camarones 1440","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-camarones-1400-paternal-venta-3-ambientes-57440669.html
pending,98000,63,1556,3,"Avenida Juan B. Justo 6100","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-depto-3-amb-en-venta-en-santa-rita-con-toilette-58958317.html
pending,85000,56,1518,3,"gral paz 9062","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-3-amb-venta-villa-real-56669509.html
pending,75000,50,1500,2,"BELAUSTEGUI 3365","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-venta-ph-2-amb-villa-santa-rita-con-patio-1-por-56477457.html
rejected,94000,44,2136,2,"SUCRE 2557","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-2ambientes-con-lavadero-y-baulera-con-renta-sucre-54529330.html
pending,82000,51,1608,3,"Camargo 1212. Entre Darwin y Humboldt","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-en-villa-crespo-57939992.html
pending,75000,46,1630,3,"Delgado 800. Entre Palpa y Cespedes","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-3-ambientes.-delgado-al-800-58583829.html
pending,87000,40,2175,1,"Caracas 1264","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-monoambiente-divisible-c-pileta-parrilla-gimnasio-y-58922542.html
pending,89000,46,1935,2,"SANTA FE AV. 1114. Entre Cerrito y Libertad","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-apto-profesional-2-ambientes-amplios-58868121.html
pending,70000,43,1628,2,"San Nicolas 2200","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-en-villa-del-parque-capital-58909962.html
favorite,,95,,3,"José Cubas 2370","",https://www.zonaprop.com.ar/propiedades/clasificado/veclappa-oportunidad-venta-de-departamento-58676719.html
pending,92900,50,1858,3,"Gurruchaga al 100","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-3-ambientes-apto-credito-luminoso-58704743.html
pending,75000,49,1531,3,"Fraga 777","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-fraga-777-colegiales-3-amb.-luminosos-al-57404638.html
rejected,99000,87,1138,2,"DORREGO, AVDA. 636. Entre Guzman y Rodney","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-venta-ph-2-ambientes-dorrego-600-terraza-propia-58631215.html
pending,78000,45,1733,2,"billinghurst 1625","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-2-amb-c-patio-56404707.html
rejected,93000,44,2114,2,"Superi al 2300","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-hermoso-departamento-2-amb-con-patio-en-venta-58678804.html
rejected,100000,87,1149,4,"DORREGO, AVDA. 636. Entre Guzman y Rodney","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-venta-ph-4-ambientes-refaccionar-dorrego-600-dos-58631435.html
pending,96000,52,1846,3,"Grecia 4700","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-tres-ambientes-en-venta!-57399894.html
pending,79000,47,1681,2,"Córdoba 6500","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-cordoba-6565-colegiales-2-amb.-al-cfte-sin-59061842.html
rejected,,171,,5,"Comuna 15","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphpa-ph-5-amb.-sin-expensas-doble-cochera-2-terrazas-58667723.html
rejected,90000,42,2143,2,"CONESA 767. Entre Av. federico lacroze y Garcia, teodoro","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-2-ambientes.-conesa-767-55920359.html
pending,85000,42,2024,1,"Estomba  al 3800","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-monoambiente-reciclado-todo-a-nuevo-59103799.html
pending,93000,43,2163,2,"Av. Gral. Cesar Diaz 2974","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-semi-piso-contra-frente-balcon-luminoso-58855523.html
pending,79000,49,1612,2,"TRES ARROYOS 1204. Entre Paysandu","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-de-departamento-2-ambientes-con-terraza-en-58581438.html
rejected,98000,48,2042,2,"Avenida San Martín 2355","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-2-ambientes-piso-alto-seg.-24-hs-amenities-58674352.html
pending,85000,52,1635,2,"José Cubas 3600","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-depto-2-amb-jose-cubas-villa-devoto-56712337.html
pending,95000,65,1462,3,"Apolinario Figueroa al 400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-3-ambientes-en-villa-crespo-58142745.html
pending,87000,40,2175,2,"Avda. Cabildo 200","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-2-amb.-al-frente-sobre-avda.-cabildo!-59062850.html
rejected,96000,72,1333,3,"Remedios de Escalada de San Martin 2400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-de-3-ambientes-al-frente-con-balcon-55532963.html
rejected,100000,50,2000,3,"Triunvirato 2860","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-excelente-3-amb-con-balcon-al-frente-57115876.html
pending,72000,43,1674,3,"Lascano 3200","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-3-ambientes-villa-del-parque-59020464.html
favorite,89000,68,1309,3,"Montevideo al 600","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-excelente-departamento-de-3-ambientes-en-venta!-57171459.html
pending,92000,54,1704,3,"Ciudad de la Paz 2100","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-3-ambientes-belgrano-apto-prof-58828926.html
rejected,92000,45,2044,2,"Zapiola 2300","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-2-ambientes-belgrano-r-57314609.html
pending,95000,41,2317,2,"Guemes 3800","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-con-escritorio-en-58263185.html
pending,89900,40,2248,2,"Venta departamento 2 ambientes Palermo. Apto Crédito!! OPORTUNIDAD!!","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-en-palermo-capital-federal-56536806.html
pending,98000,40,2450,2,"Federico Lacroze  al 1800","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-dto-2-ambiente-en-la-canitas-58261289.html
rejected,89000,45,1978,2,"Arcos 3100","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-y-patio-en-nunez-58874368.html
pending,79500,46,1728,3,"Delgado 810","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-de-3-ambientes-en-colegiales-57609805.html
