Status,Precio USD,Area m2,USD/m2,Ambientes,Direccion,Notas,URL
pending,82000,51,1608,2,"Bauness 2906","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-de-dos-ambientes-apto-credito-en-58276618.html
rejected,98000,44,2227,3,"Charcas 2900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta.-apto-credito-dpto-3-ambientes-c-baulera.-58771718.html
pending,99000,50,1980,2,"Mariscal F. Solano López al 3000","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-2-ambientes-57759916.html
pending,90000,66,1364,3,"Joaquin V. González 541","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-de-3-ambientes-con-balcon-en-venta-en-58901471.html
pending,99000,44,2250,2,"Araoz al 2400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-palermo-56327547.html
rejected,86000,40,2150,2,"Avenida Francisco Beiró 4400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-reciclado-2-ambientes-devoto-58913576.html
rejected,94900,50,1898,3,"Monroe  al 1400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-3-ambientes-belgrano-apto-credito-58521110.html
rejected,97000,45,2156,22,"Pinto 3200","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-en-coghlan-capital-federal-58931889.html
pending,72000,43,1674,3,"Lascano 3100","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-venta-ph-3-ambientes-en-villa-del-parque-58951635.html
pending,97190,48,2025,2,"Acevedo al 400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-pozo-en-villa-crespo-56278166.html
pending,95000,65,1462,3,"Apolinario Figueroa al 400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-villa-crespo-58882371.html
pending,79000,50,1580,2,"Rodríguez Peña e/ Avenida Libertador y Posadas","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-1-dormitorio-1-bano-recoleta-56994308.html
rejected,79900,109,733,3,"Dr. Luis Belaustegui  al 3400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-venta-ph-3-ambientes-con-terraza-a-refaccionar-59038331.html
pending,85000,40,2125,2,"Elcano 3800","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-departamento-ph-en-venta-en-colegiales-capital-56284731.html
rejected,69900,48,1456,2,"Camarones 2851","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-venta-ph-2-ambientes-villa-general-mitre-sin-expensas-58658613.html
rejected,100000,40,2500,2,"Avenida Balbín 2354 e/ Avenida Olazábal y Blanco Encalada","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-1-dormitorio-1-bano-40-59043775.html
pending,100000,53,1887,2,"Avenida Triunvirato 3176","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-de-departamento-de-2-ambientes-en-villa-ortuzar-58274184.html
rejected,78000,45,1733,1,"Remedios de Escalada de San Martin 900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-monoambiente-divisible-apto-credito-59058088.html
pending,82000,43,1907,2,"Crisólogo Larralde 2400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-2-ambientes-con-lavadero-en-nunez-57599565.html
pending,79000,43,1837,2,"Araoz  al 500","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-en-villa-crespo-se-58459289.html
pending,98000,48,2042,3,"Santa Fe 5323","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-3-amb-palermo-apto-credito-57340660.html
rejected,100000,44,2273,2,"Bonpland al 1200","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-monoambiente-dividido.-moderno.-57126870.html
rejected,95000,45,2111,2,"Virrey Del Pino 2600","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-dos-ambeintes-en-belgrano-58810145.html
pending,89000,54,1648,3,"Muñecas 800","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-venta-depto-ph-3-amb.-reciclado-villa-crespo-58998937.html
rejected,86000,42,2048,2,"Avenida Francisco Beiró 4400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-depto-reciclado-2-amb.-devoto-oportunidad-58929217.html
rejected,100000,60,1667,3,"LOPE DE VEGA 3300. Entre Pedro Moran y Cantilo, Jose Luis","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-3-ambientes-venta-villa-devoto-54428107.html
rejected,,987,,,"GAVILAN 4600. Entre Av Mosconi y Gabriela Mistral","",https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-lote-venta-villa-pueyrredon-54203761.html
pending,76000,41,1854,2,"Pasaje Ariel al 2500","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-con-baulera-comodo-y-58427929.html
pending,75000,46,1630,2,"URIARTE 1058","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-de-departamento-2-ambientes-en-villa-crespo.-con-58871767.html
pending,93000,49,1898,2,"Avenida Francisco Beiró e/ Avenida Lope de Vega y Pedro Calderón de la Barca","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-1-dormitorio-1-bano-villa-58557229.html
pending,,230,,5,"Juncal  al 2000","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-dpto-en-venta-recoleta-4-dorm.-230-m-sup2--a-reciclar-58563509.html
pending,83000,42,1976,2,"Av. Pueyrredon al 900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta.-departamento.-2-ambientes.-luminoso.-recoleta.-57249916.html
pending,90000,48,1875,2,"Teodoro Garcia al 2900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-colegiales-57926111.html
pending,72000,40,1800,2,"Olaguer y Feliu  al 2400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-2-ambientes-en-venta-belgrano-59038851.html
rejected,92000,40,2300,2,"Federico Lacroze  al 1800","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-2-ambientes-luminoso-58181404.html
rejected,96000,42,2286,2,"ARTIGAS 5400. Entre Bazurco y Cochrane","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-2-ambientes-venta-villa-pueyrredon-57789528.html
rejected,84000,40,2100,2,"Monroe al 3600","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-alquiler-2-ambientes-temporario-villa-urquiza-58805695.html
pending,84600,57,1484,2,"Mansilla 2900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-dos-ambientes-2-patios-contrafrente-recoleta-58777625.html
rejected,94000,43,2186,2,"Armenia 2231","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-depto-2-ambientes-refaccionado-en-palermo-58257495.html
pending,79900,43,1858,3,"Charcas al 4000","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-3-ambientes-a-reciclar-apto-credito-58178562.html
rejected,100000,50,2000,3,"AV NAZCA 3100. Entre Pedro Lozano y Nazarre","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-3-ambientes-venta-villa-del-parque-58704010.html
rejected,,121,,3,"Manuel Ricardo Trelles  al 1900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-ph-en-venta-3-amb-sin-expensas!-1-piso-x-escalera-2-58547056.html
rejected,,296,,5,"Cazadores  al 2200","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-penthouse-5-ambientes-vista-al-rio-terraza-58509822.html
pending,90000,57,1579,3,"Tinogasta 3200","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-de-3-ambientes-villa-del-parque-59058106.html
pending,87000,46,1891,2,"Nogoyá al 4400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-en-villa-devoto-caba-58327767.html
rejected,69000,44,1568,2,"Scalabrini Ortiz al 500","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-departamento-venta-villa-crespo-2-ambientes-a-56632309.html
pending,74000,49,1510,2,"Zamudio al 4800","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-villa-pueyrredon-58588322.html
rejected,86000,41,2098,2,"Avenida Juramento 1700","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-2-amb-en-belgrano-exc-ubicacion-apto-credito-58864560.html
pending,97000,49,1980,1,"Av. Cordoba  al 3500","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-monomabiente-amplio-con-balcon-en-palermo-58728548.html
pending,99000,52,1904,2,"ASUNCION 2200. Entre Caracas y Gavilan","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-2-ambientes-venta-agronomia-58446588.html
pending,94000,45,2089,2,"Uriburu al 1600","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-uriburu-y-av-las-heras-57652265.html
pending,79000,45,1756,3,"Mariano Acha al 2400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-ph-3-ambientes-en-villa-urquiza-bajas-expensas-57939143.html
pending,86000,47,1830,3,"Junin al 600","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-junin-y-viamonte-58587421.html
pending,99000,46,2152,1,"Remedios de Escalada de san Martin 900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-increible-monoambiente-en-villa-crespo-59069232.html
pending,87000,50,1740,2,"PH en Venta 2 Ambientes Refaccionado. Villa General Mitre","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-venta-ph-2-ambientes-villa-general-mitre-58879229.html
rejected,90000,42,2143,2,"Zapata al 100 1°","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-t-casa-s-exp-en-zapata-al-100-frente-impecable-58155757.html
rejected,77000,42,1833,2,"av. san Martin  al 4400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-2-amb-en-agronomia-apto-credito-con-55967590.html
pending,85000,48,1771,2,"Vuelta de Obligado al 2800","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-de-2-ambientes-en-belgrano-con-53875246.html
rejected,99000,50,1980,3,"Av Honorio Pueyrredon al 1400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-3-ambientes-en-villa-crespo-58958841.html
pending,,45,,2,"Remedios de Escalada de San Martín al 2700","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-en-villa-santa-rita.-58353848.html
rejected,65000,43,1512,1,"Avenida Nazca 2871","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-excelente-monoambiente-divisible-apto-credito-y-58133132.html
pending,78000,52,1500,3,"Serrano 400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-3-ambientes-venta-villa-crespo-58947417.html
rejected,89900,40,2248,2,"Argañaras Y AV. Estado DE Israel","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-arganaras-y-av-estado-de-israel-todo-a-nuevo-todo-58617082.html
rejected,99000,50,1980,2,"Luis María Campos  96","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-las-canitas-58212714.html
rejected,89900,60,1498,3,"Donado  al 800","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-3-ambientes-con-balcon-58707798.html
pending,86000,49,1755,2,"Jose Gervasio Artigas 2900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-2-ambientes-con-balcon-y-cochera-58907880.html
pending,95000,47,2021,2,"Virasoro 2342","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-con-patio-palermo-57861294.html
pending,77000,46,1674,2,"Bonpland al 2400 Piso 2 (ph)","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-ph-con-expensas-2-dorm.-reciclado-por-escalera-venta-58639420.html
pending,96000,47,2043,3,"Av. San Martín 1800","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-3-ambientes-escritorio-o-3-dorm.-56708266.html
rejected,94500,41,2305,2,"Arcos 3200","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-en-nunez-capital-federal-58207718.html
rejected,89000,65,1369,2,"Av Forest 1209 Duplicado","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-departamento-en-venta-sin-expensas!-2-amb-blcon-al-58748367.html
rejected,75000,55,1364,2,"Juan B. Justo al 2400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-venta-ph-ideal-estudio-grabacion-radio-streaming-58938433.html
rejected,84900,40,2123,2,"Avenida Juan B. Justo 2500","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-2-amb-amplio-y-luminoso-c-terraza-comp-exp-bajas-58407053.html
pending,95000,52,1827,2,"Pinto al 3200","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-venta-ph-de-2-amb-en-pb-al-frente-en-coghlan-apto-59014896.html
pending,74900,50,1498,2,"Gral Gervasio G de Artigas 2000","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-luminoso-con-balcon-y-59100485.html
